"Geneid","Length"
"CTNNBIP1",2995
"LZIC",1407
"NMNAT1",4395
"MIR5697",78
"RBP7",655
"UBE4B",5879
"KIF1B",16016
"RNU6-2",1171
"PGD",2545
"APITD1-CORT",2151
"APITD1",1898
"CORT",1231
"DFFA",3393
"PEX14",1926
"CASZ1",8554
"C1orf127",2761
"TARDBP",4217
"MASP2",2611
"SRM",1273
"EXOSC10",2842
"MTOR",8725
"MTOR-AS1",706
"ANGPTL7",2290
"UBIAD1",3654
"PTCHD2",5214
"LOC101929181",1284
"FBXO2",1715
"FBXO44",3527
"FBXO6",1549
"MAD2L2",1328
"DRAXIN",1773
"AGTRAP",1280
"C1orf167",4672
"LOC102724659",1868
"MTHFR",7150
"CLCN6",5708
"NPPA-AS1",1662
"NPPA",854
"NPPB",698
"KIAA2013",2823
"PLOD1",3031
"MFN2",4677
"MIIP",1801
"MIR6729",65
"TNFRSF8",3686
"MIR7846",96
"TNFRSF1B",3675
"MIR4632",61
"VPS13D",16345
"SNORA59B",304
"SNORA59A",304
"DHRS3",1723
"MIR6730",88
"AADACL4",1575
"AADACL3",4049
"C1orf158",1048
"PRAMEF12",1778
"PRAMEF1",2436
"PRAMEF11",1689
"HNRNPCL4",928
"HNRNPCL3",1006
"HNRNPCL1",1170
"PRAMEF2",1642
"PRAMEF4",1840
"PRAMEF8",4674
"PRAMEF7",4674
"PRAMEF6",3440
"PRAMEF9",1436
"LOC101929983",5746
"LOC391003",4244
"PRAMEF22",2892
"PRAMEF25",1939
"PRAMEF26",1785
"PRAMEF5",3710
"LOC649324",4429
"LOC645354",4429
"HNRNPCL2",1156
"PRAMEF10",3050
"LOC645382",3036
"PRAMEF15",3724
"LOC400736",4328
"PRAMEF14",4328
"PRAMEF19",4246
"PRAMEF16",1586
"PRAMEF17",3158
"PRAMEF20",3194
"LRRC38",1908
"PDPN",2980
"PRDM2",9583
"KAZN",9368
"TMEM51-AS1",6979
"TMEM51",2238
"C1orf195",719
"FHAD1",5090
"EFHD2",2419
"CTRC",899
"CELA2A",920
"CELA2B",923
"CASP9",3304
"DNAJC16",6299
"AGMAT",3154
"DDI2",2680
"RSC1A1",1854
"PLEKHM2",4122
"SLC25A34",3073
"TMEM82",1265
"FBLIM1",3773
"UQCRHL",538
"FLJ37453",2732
"SPEN",12227
"MIR5096",206
"ZBTB17",2794
"C1orf64",927
"HSPB7",2892
"CLCNKA",2536
"CLCNKB",2984
"FAM131C",1701
"EPHA2",3964
"ARHGEF19",3029
"RSG1",1560
"FBXO42",6238
"SZRD1",3766
"SPATA21",2015
"NECAP2",2081
"CROCCP3",5368
"FAM231B",1312
"MIR3675",221
"NBPF1",5947
"CROCCP2",1765
"MST1P2",2636
"FAM231A",1020
"FAM231C",1310
"ESPNP",2015
"MST1L",4668
"CROCC",6656
"MFAP2",1174
"ATP13A2",4040
"SDHB",1145
"PADI2",4363
"PADI1",3847
"PADI3",3188
"MIR3972",87
"PADI4",2265
"PADI6",2396
"RCC2",4163
"ARHGEF10L",4494
"ACTL8",1861
"LOC101927876",2470
"IGSF21",1944
"KLHDC7A",5057
"PAX7",6313
"TAS1R2",2521
"ALDH4A1",3581
"MIR4695",74
"MIR1290",78
"IFFO2",5835
"UBR4",15882
"EMC1",6671
"MRTO4",2273
"AKR7L",2314
"AKR7A3",1241
"LOC100506730",2490
"AKR7A2",2619
"PQLC2",3461
"CAPZB",2907
"MINOS1",4231
"MINOS1-NBL1",2210
"RPS14P3",838
"NBL1",3281
"HTR6",3388
"TMCO4",2974
"RNF186",1250
"OTUD3",6514
"PLA2G2E",487
"PLA2G2A",1032
"PLA2G5",1894
"PLA2G2D",1970
"PLA2G2F",2719
"PLA2G2C",453
"UBXN10-AS1",509
"UBXN10",5578
"VWA5B1",4475
"LINC01141",3783
"CAMK2N1",2351
"MUL1",2458
"FAM43B",2582
"CDA",959
"PINK1",2660
"MIR6084",110
"PINK1-AS",4443
"DDOST",2126
"KIF17",4098
"SH2D5",3834
"HP1BP3",3921
"EIF4G3",6970
"MIR1256",119
"ECE1",5737
"LOC100506801",2574
"NBPF3",4418
"ALPL",2596
"RAP1GAP",3596
"USP48",5188
"LDLRAD2",4012
"HSPG2",14343
"CELA3B",1003
"CELA3A",907
"LOC101928043",698
"LINC00339",1388
"CDC42",3155
"WNT4",3905
"MIR4418",62
"ZBTB40",8992
"EPHA8",5409
"MIR6127",109
"C1QA",1098
"C1QC",1191
"C1QB",1044
"EPHB2",11039
"MIR4684",82
"MIR4253",68
"LACTBL1",1733
"C1orf234",510
"KDM1A",3107
"MIR3115",68
"MIR4419A",77
"LUZP1",8487
"HTR1D",2835
"LINC01355",3511
"HNRNPR",7840
"ZNF436",4814
"ZNF436-AS1",2867
"TCEA3",1750
"ASAP3",4152
"E2F2",5193
"LOC101928163",1212
"ID3",1239
"MDS2",1027
"RPL11",634
"TCEB3",4943
"TCEB3-AS1",1084
"PITHD1",1622
"LYPLA2",1624
"GALE",1858
"HMGCL",1608
"FUCA1",2117
"CNR2",1775
"MIR378F",78
"PNRC2",2414
"SRSF10",16433
"MYOM3",5800
"IL22RA1",2962
"IFNLR1",4563
"LOC284632",1846
"GRHL3",3422
"STPG1",3047
"NIPAL3",5426
"RCAN3AS",429
"RCAN3",3030
"LOC100506985",973
"NCMAP",3990
"SRRM1",4150
"CLIC4",4434
"RUNX3",4767
"MIR6731",72
"MIR4425",84
"SYF2",1777
"RSRP1",1465
"RHD",3007
"TMEM50A",2302
"RHCE",1618
"TMEM57",3977
"LDLRAP1",2935
"MAN1C1",4641
"SEPN1",4332
"MTFR1L",2403
"LOC646471",3653
"AUNIP",2408
"PAQR7",3023
"STMN1",3602
"MIR3917",93
"PAFAH2",3581
"EXTL1",4014
"SLC30A2",2499
"TRIM63",1770
"PDIK1L",4600
"FAM110D",1524
"ZNF593",649
"CNKSR1",2558
"CATSPER4",1419
"LOC101928303",1078
"CEP85",4296
"SH3BGRL3",1115
"UBXN11",2072
"CD52",505
"AIM1L",5245
"ZNF683",1732
"LIN28A",4014
"DHDDS",3328
"LOC101928324",783
"HMGN2",1969
"RPS6KA1",3383
"MIR1976",52
"ARID1A",8585
"PIGV",2955
"ZDHHC18",3139
"SFN",1315
"GPN2",1510
"GPATCH3",2129
"NR0B2",1271
"NUDC",1813
"KDF1",1803
"TRNP1",1949
"FAM46B",2374
"SLC9A1",4742
"WDTC1",4819
"TMEM222",1855
"ACTG1P20",2652
"SYTL1",1966
"MAP3K6",4348
"FCN3",1032
"CD164L2",1563
"GPR3",2114
"WASF2",5695
"AHDC1",6358
"FGR",2773
"IFI6",860
"FAM76A",3459
"STX12",3079
"PPP1R8",2852
"SCARNA1",166
"THEMIS2",2724
"RPA2",1956
"SMPDL3B",2385
"XKR8",2692
"EYA3",6273
"PTAFR",4533
"DNAJC8",1764
"ATPIF1",1925
"SESN2",3528
"MED18",1869
"PHACTR4",6492
"SNHG3",2346
"RCC1",3027
"SNORA73B",158
"TRNAU1AP",2015
"SNHG12",739
"SNORD99",80
"SNORA61",130
"SNORA44",132
"SNORA16A",134
"RAB42",1333
"TAF12",1450
"RNU11",135
"GMEB1",2694
"YTHDF2",3063
"OPRD1",1774
"EPB41",6292
"TMEM200B",2616
"SRSF4",2530
"MECR",2666
"PTPRU",5640
"LOC101928460",2148
"LOC101929406",1519
"MATN1",3830
"MATN1-AS1",2050
"LAPTM5",2240
"MIR4420",77
"SDC3",5121
"PUM1",5385
"SNORD103A",176
"SNORD103B",176
"SNORD85",75
"NKAIN1",2922
"SNRNP40",1624
"ZCCHC17",1921
"FABP3",1097
"SERINC2",3549
"LINC01225",1168
"LINC01226",2741
"TINAGL1",2281
"HCRTR1",2001
"PEF1",2217
"COL16A1",5584
"ADGRB2",5440
"MIR4254",76
"SPOCD1",3962
"PTP4A2",3929
"KHDRBS1",3731
"TMEM39B",1818
"MIR5585",59
"KPNA6",7372
"TXLNA",4796
"CCDC28B",1665
"IQCC",2293
"DCDC2B",1349
"TMEM234",1082
"EIF3I",1458
"MTMR9LP",2324
"FAM167B",956
"LCK",2235
"HDAC1",2091
"MARCKSL1",1562
"FAM229A",699
"TSSK3",1315
"BSDC1",5281
"ZBTB8B",4018
"ZBTB8A",7368
"ZBTB8OS",1280
"RBBP4",8018
"SYNC",3493
"KIAA1522",5606
"YARS",3117
"S100PBP",4435
"FNDC5",3195
"HPCA",1406
"TMEM54",993
"RNF19B",2737
"AK2",5771
"AZIN2",2569
"TRIM62",3841
"ZNF362",3106
"A3GALT2",1023
"PHC2",4175
"MIR3605",100
"LOC101929464",490
"ZSCAN20",4218
"CSMD2",13920
"HMGB4",2343
"CSMD2-AS1",1364
"C1orf94",3293
"MIR552",96
"GJB5",1355
"GJB4",2840
"GJB3",2352
"GJA4",1622
"SMIM12",6373
"DLGAP3",3856
"LOC653160",1887
"ZMYM6NB",925
"ZMYM6",5144
"ZMYM1",4670
"SFPQ",3073
"ZMYM4",6994
"KIAA0319L",4812
"NCDN",3705
"TFAP2E",2187
"PSMB2",4845
"C1orf216",2934
"CLSPN",8484
"AGO4",7060
"AGO1",7478
"AGO3",3645
"TEKT2",1509
"ADPRHL2",1691
"COL8A2",4534
"TRAPPC3",1753
"MAP7D1",3571
"THRAP3",4431
"SH3D21",2579
"EVA1B",1245
"STK40",3909
"LSM10",927
"OSCP1",1665
"MRPS15",965
"CSF3R",3490
"GRIK3",9219
"MIR4255",72
"LINC01137",1427
"ZC3H12A",2716
"MIR6732",60
"MEAF6",4965
"MIR5581",60
"SNIP1",4605
"DNALI1",2649
"GNL2",2402
"RSPO1",3089
"C1orf109",2551
"CDCA8",2486
"EPHA10",6643
"MANEAL",3107
"YRDC",1836
"C1orf122",1318
"MTF1",7972
"INPP5B",4573
"SF3A3",2836
"FHL3",1657
"UTP11L",2050
"POU3F1",2928
"MIR3659",99
"LINC01343",2283
"RRAGC",2733
"GJA9-MYCBP",5271
"MYCBP",2565
"GJA9",2322
"RHBDL2",2003
"AKIRIN1",2726
"NDUFS5",571
"MACF1",17689
"KIAA0754",6979
"BMP8A",5626
"PPIEL",2637
"PABPC4",3204
"LOC101929516",641
"SNORA55",137
"HEYL",4114
"NT5C1A",1107
"HPCAL4",4983
"PPIE",4737
"BMP8B",3773
"OXCT2",1824
"TRIT1",2128
"MYCL",4951
"MFSD2A",2213
"CAP1",2773
"PPT1",2504
"RLF",6250
"TMCO2",741
"ZMPSTE24",3165
"COL9A2",2831
"SMAP2",3257
"ZFP69B",2031
"ZFP69",2159
"EXO5",2203
"ZNF684",2097
"RIMS3",7229
"NFYC-AS1",3182
"NFYC",3428
"MIR30E",92
"MIR30C1",89
"KCNQ4",4099
"CITED4",1291
"CTPS1",3462
"SLFNL1-AS1",4800
"SLFNL1",2155
"SCMH1",3801
"FOXO6",2390
"EDN2",1253
"HIVEP3",14115
"GUCA2B",597
"GUCA2A",575
"FOXJ3",5778
"RIMKLA",10569
"ZMYND12",1774
"PPCS",3112
"CCDC30",3098
"PPIH",800
"YBX1",1546
"CLDN19",3602
"P3H1",3105
"C1orf50",1015
"LOC100129924",983
"SVBP",798
"ERMAP",3500
"ZNF691",1912
"LOC339539",2365
"SLC2A1",3670
"SLC2A1-AS1",1124
"FAM183A",517
"EBNA1BP2",1642
"MIR6733",61
"CFAP57",5127
"TMEM125",1786
"C1orf210",1513
"TIE1",3982
"MPL",3645
"CDC20",1674
"ELOVL1",1786
"MIR6734",68
"MED8",2050
"SZT2",13979
"MIR6735",73
"HYI",1367
"PTPRF",7733
"KDM4A",4509
"KDM4A-AS1",1560
"ST3GAL3",2875
"LOC101929592",456
"MIR6079",62
"ARTN",1944
"IPO13",4027
"DPH2",2497
"ATP6V0B",2068
"B4GALT2",2425
"CCDC24",1461
"SLC6A9",3692
"KLF17",3128
"DMAP1",1766
"ERI3",1755
"ERI3-IT1",1120
"RNF220",3010
"MIR5584",60
"TMEM53",2363
"C1orf228",1685
"KIF2C",3278
"RPS8",705
"SNORD55",74
"SNORD46",98
"SNORD38A",71
"SNORD38B",69
"BEST4",2096
"PLK3",2358
"TCTEX1D4",1268
"BTBD19",1572
"PTCH2",4634
"EIF2B3",2176
"HECTD3",3628
"UROD",1458
"ZSWIM5",5836
"LINC01144",1710
"HPDL",1802
"MUTYH",2280
"TOE1",2392
"TESK2",3076
"CCDC163P",2169
"MMACHC",2850
"PRDX1",1348
"AKR1A1",1580
"NASP",3291
"CCDC17",2250
"GPBP1L1",3738
"RPS15AP10",906
"TMEM69",1471
"IPP",3443
"MAST2",5738
"PIK3R3",6271
"LOC101929626",358
"TSPAN1",1629
"POMGNT1",3529
"LURAP1",1849
"RAD54L",3146
"LRRC41",2948
"UQCRH",771
"NSUN4",5799
"FAAH",2095
"FAAHP1",1267
"LINC01398",1129
"DMBX1",2884
"MKNK1-AS1",2445
"KNCN",2392
"MKNK1",2911
"MOB3C",2985
"ATPAF1",2152
"TEX38",851
"EFCAB14-AS1",583
"EFCAB14",5767
"CYP4B1",2158
"CYP4Z2P",1474
"CYP4A11",2552
"CYP4X1",2357
"CYP4Z1",1907
"CYP4A22",3058
"LINC00853",661
"PDZK1IP1",894
"TAL1",5103
"STIL",5228
"CMPK1",3508
"LINC01389",861
"FOXE3",1981
"FOXD2-AS1",2507
"FOXD2",4675
"TRABD2B",7029
"SKINTL",1511
"SLC5A9",3274
"SPATA6",5008
"AGBL4",2988
"BEND5",1849
"LOC101929721",575
"AGBL4-IT1",514
"ELAVL4",4758
"DMRTA2",3083
"FAF1",2583
"CDKN2C",2478
"MIR4421",69
"MIR6500",86
"C1orf185",911
"RNF11",3074
"TTC39A",3978
"TTC39A-AS1",650
"EPS15",5483
"OSBPL9",4258
"NRD1",4082
"MIR761",59
"RAB3B",12844
"TXNDC12",4350
"KTI12",1696
"TXNDC12-AS1",391
"BTF3L4",4643
"ZFYVE9",5195
"CC2D1B",5654
"ORC1",3169
"PRPF38A",2772
"ZCCHC11",5850
"GPX7",1229
"FAM159A",698
"COA7",2114
"ZYG11B",8142
"ZYG11A",4271
"ECHDC2",1590
"SCP2",3700
"MIR1273F",99
"MIR5095",173
"MIR1273G",100
"PODN",3417
"SLC1A7",3599
"CPT2",3094
"C1orf123",1566
"MAGOH",756
"LOC100507564",1181
"LRP8",7778
"LOC105378732",567
"SLC25A3P1",925
"DMRTB1",1909
"GLIS1",2816
"NDC1",4825
"YIPF1",1903
"DIO1",1860
"HSPB11",601
"LRRC42",1788
"LDLRAD1",2376
"TMEM59",7035
"TCEANC2",7499
"MIR4781",76
"CDCP2",1959
"CYB5RL",3533
"MRPL37",1483
"SSBP3",3254
"SSBP3-AS1",2621
"ACOT11",3391
"FAM151A",1981
"MROH7",4406
"MROH7-TTC4",6547
"TTC4",2393
"PARS2",2386
"TTC22",3073
"C1orf177",1789
"DHCR24",4286
"TMEM61",1225
"BSND",1370
"PCSK9",3892
"USP24",10802
"LOC100507634",2048
"MIR4422",83
"PPAP2B",3308
"PRKAA2",9352
"C1orf168",3460
"C8A",2392
"C8B",2513
"DAB1",2580
"DAB1-AS1",1150
"OMA1",1934
"TACSTD2",2072
"MYSM1",7768
"JUN",3323
"LINC01135",1123
"LINC01358",471
"HSD52",1043
"FGGY",3172
"MIR4711",70
"LOC101926944",528
"HOOK1",5857
"CYP2J2",1857
"C1orf87",2028
"LOC101926964",2344
"NFIA-AS2",1989
"NFIA",10023
"NFIA-AS1",392
"MGC34796",1887
"TM2D1",1250
"INADL",8504
"MIR3116-1",74
"MIR3116-2",68
"L1TD1",3990
"KANK4",5477
"USP1",4198
"DOCK7",7998
"ANGPTL3",2951
"ATG4C",2724
"LINC00466",1793
"FOXD3-AS1",1235
"FOXD3",2068
"MIR6068",60
"ALG6",3371
"ITGB3BP",1176
"EFCAB7",2402
"DLEU2L",1657
"PGM1",3353
"ROR1",6573
"ROR1-AS1",3454
"UBE2U",1136
"CACHD1",5848
"MIR4794",75
"RAVER2",4361
"JAK1",5053
"LINC01359",1079
"MIR3671",88
"MIR101-1",75
"AK4",7226
"DNAJC6",6320
"LEPROT",5121
"LEPR",6891
"PDE4B",5837
"LOC101927139",456
"SGIP1",11104
"MIR3117",78
"TCTEX1D1",2264
"INSL5",718
"WDR78",3955
"MIER1",7731
"SLC35D1",6460
"C1orf141",2533
"IL23R",2814
"IL12RB2",4221
"SERBP1",6764
"GADD45A",1380
"GNG12",4409
"GNG12-AS1",2247
"DIRAS3",1631
"WLS",3091
"MIR1262",93
"RPE65",2608
"DEPDC1",5438
"DEPDC1-AS1",1247
"LRRC7",6245
"PIN1P1",996
"LRRC40",2945
"SRSF11",2792
"ANKRD13C",5667
"HHLA3",951
"CTH",2140
"LOC101927244",2086
"PTGER3",10280
"ZRANB2-AS1",1676
"ZRANB2",3145
"MIR186",86
"ZRANB2-AS2",783
"NEGR1",5669
"NEGR1-IT1",534
"LINC01360",4080
"LRRIQ3",2862
"FPGT",4722
"FPGT-TNNI3K",3619
"TNNI3K",3023
"ERICH3",7159
"ERICH3-AS1",5047
"CRYZ",2303
"TYW3",3549
"LHX8",2446
"SLC44A5",4224
"ACADM",2733
"DLSTP1",3012
"RABGGTB",1709
"SNORD45C",78
"SNORD45A",84
"SNORD45B",71
"MSH4",3277
"ASB17",1107
"LOC101927342",369
"ST6GALNAC3",3621
"ST6GALNAC5",2032
"MIR7156",60
"PIGK",4625
"AK5",4335
"ZZZ3",6578
"USP33",4625
"FAM73A",6410
"NEXN-AS1",2292
"NEXN",3389
"FUBP1",2758
"DNAJB4",2237
"GIPC2",3977
"MGC27382",1191
"PTGFR",5431
"IFI44L",5895
"IFI44",1726
"ADGRL4",3619
"LOC101927412",706
"LOC101927434",643
"ADGRL2",6208
"LINC01361",1585
"LOC101927587",3165
"MIR548AP",67
"LOC101927560",1991
"TTLL7",3648
"PRKACB",6629
"SAMD13",1803
"UOX",1551
"DNASE2B",1345
"RPF1",1975
"GNG5",806
"SPATA1",2155
"CTBS",3101
"LINC01461",560
"LINC01555",2884
"SSX2IP",6114
"LPAR3",1721
"MCOLN2",3053
"MCOLN3",2850
"WDR63",3019
"MIR4423",80
"SYDE2",4711
"C1orf52",3390
"BCL10",3104
"LOC646626",888
"DDAH1",4482
"CYR61",2293
"ZNHIT6",6197
"COL24A1",6500
"ODF2L",6471
"MIR7856",56
"CLCA2",4024
"CLCA1",3120
"CLCA4",3208
"CLCA3P",3412
"SH3GLB1",6488
"SEP15",1840
"HS2ST1",7265
"LINC01140",4642
"LOC101927844",1152
"LMO4",5406
"LINC01364",886
"PKN2-AS1",3542
"PKN2",6104
"GTF2B",1645
"CCBL2",2152
"RBMXL1",5087
"GBP3",3040
"GBP1",3050
"GBP2",4132
"GBP7",2454
"GBP4",6145
"GBP5",4051
"LOC729930",1105
"GBP6",4867
"GBP1P1",1234
"LRRC8B",8061
"FLJ27354",789
"LRRC8C",7207
"LRRC8D",4052
"GEMIN8P4",1702
"ZNF326",3919
"BARHL2",1496
"ZNF644",6001
"HFM1",4931
"CDC7",3415
"TGFBR3",6802
"BRDT",4051
"EPHX4",1443
"SETSIP",1037
"BTBD8",1447
"KIAA1107",4556
"C1orf146",751
"GLMN",2032
"RPAP2",3112
"GFI1",2910
"EVI5",7436
"RPL5",1031
"FAM69A",3099
"SNORD21",95
"SNORA66",133
"MTF2",4128
"TMED5",6185
"CCDC18",4790
"LOC100131564",4033
"DR1",3208
"FNBP1L",5517
"BCAR3",4262
"LOC100129046",1562
"MIR760",80
"DNTTIP2",2722
"GCLM",5050
"ABCA4",7325
"ARHGAP29",9117
"ABCD3",3797
"F3",2393
"LINC01057",1331
"MIR378G",41
"SLC44A3",2577
"CNN3",2288
"LOC729970",952
"ALG14",1094
"TMEM56",7185
"TMEM56-RWDD3",1489
"LOC101928118",2473
"RWDD3",1385
"FLJ31662",2755
"LOC100996635",1664
"LOC102723661",813
"LOC101928241",1994
"PTBP2",3858
"DPYD",5616
"DPYD-AS1",533
"DPYD-AS2",817
"MIR137HG",2469
"MIR2682",109
"MIR137",102
"LOC729987",2265
"SNX7",1897
"LPPR5",4015
"LOC100129620",2544
"LPPR4",5022
"LOC101928270",414
"PALMD",2578
"MIR548D1",44
"MIR548AA1",44
"FRRS1",2678
"AGL",8217
"SLC35A3",6081
"HIAT1",2637
"SASS6",4038
"TRMT13",3143
"LRRC39",1946
"DBT",10815
"RTCA-AS1",780
"RTCA",2623
"MIR553",68
"CDC14A",5392
"GPR88",3465
"LINC01349",823
"VCAM1",3203
"EXTL2",3372
"SLC30A7",8216
"DPH5",1807
"LOC102606465",1326
"LOC101928370",1213
"S1PR1",3050
"LINC01307",474
"RNU6-31P",54
"OLFM3",4500
"DNAJA1P5",1781
"COL11A1",7444
"LOC101928436",527
"RNPC3",1885
"AMY2B",2242
"ACTG1P4",1983
"AMY2A",1679
"AMY1A",6069
"AMY1C",5580
"AMY1B",5514
"LOC100129138",1209
"LOC101928476",1918
"PRMT6",2650
"NTNG1",3477
"VAV3",4867
"MIR7852",82
"VAV3-AS1",619
"SLC25A24",3899
"NBPF4",2499
"NBPF6",2222
"FAM102B",5340
"HENMT1",2041
"PRPF38B",3756
"FNDC7",3060
"STXBP3",2503
"AKNAD1",3248
"SPATA42",608
"GPSM2",3033
"CLCC1",4845
"WDR47",4374
"TAF13",577
"TMEM167B",2750
"SCARNA2",420
"C1orf194",731
"KIAA1324",8185
"SARS",4884
"CELSR2",10540
"PSRC1",1774
"MYBPHL",1372
"SORT1",7353
"PSMA5",3864
"SYPL2",3779
"ATXN7L2",2382
"CYB561D1",5157
"AMIGO1",2471
"GPR61",2823
"GNAI3",4732
"MIR197",75
"GNAT2",1365
"AMPD2",4772
"GSTM4",1917
"GSTM2",2018
"GSTM1",1185
"GSTM5",1570
"GSTM3",4127
"EPS8L3",2321
"CSF1",4915
"AHCYL1",4968
"STRIP1",3458
"ALX3",1478
"LINC01397",579
"UBL4B",1508
"SLC6A17",6402
"KCNC4-AS1",1131
"KCNC4",4437
"LOC440600",2609
"RBM15",3431
"SLC16A4",2649
"LAMTOR5",848
"LAMTOR5-AS1",533
"PROK1",1372
"CYMP",1241
"LOC440602",2351
"KCNA10",1959
"KCNA2",2820
"KCNA3",9027
"CD53",1628
"LRIF1",3335
"DRAM2",1886
"CEPT1",2348
"DENND2D",3539
"CHI3L2",1611
"CHIAP2",2803
"CHIA",1837
"PIFO",2359
"PGCP1",608
"OVGP1",2242
"WDR77",2408
"ATP5F1",2101
"C1orf162",1030
"TMIGD3",2308
"ADORA3",2309
"LINC01160",1542
"RAP1A",5323
"FAM212B",6077
"FAM212B-AS1",2131
"LOC101928718",2767
"DDX20",3510
"KCND3",2693
"KCND3-IT1",376
"KCND3-AS1",448
"LOC643355",3035
"CTTNBP2NL",5900
"MIR4256",64
"WNT2B",3592
"ST7L",4812
"CAPZA1",2740
"MOV10",4498
"RHOC",1621
"PPM1J",1714
"FAM19A3",1133
"LINC01356",1824
"SLC16A1",4668
"AKR7A2P1",1324
"SLC16A1-AS1",1504
"LOC100996251",2456
"LRIG2",4536
"LOC643441",2171
"MAGI3",7221
"PHTF1",3244
"RSBN1",6739
"AP4B1-AS1",2148
"PTPN22",3654
"BCL2L15",4973
"AP4B1",3479
"DCLRE1B",3788
"HIPK1-AS1",2281
"HIPK1",8502
"OLFML3",2113
"SYT6",4593
"TRIM33",8339
"BCAS2",1301
"DENND2C",4514
"AMPD1",2406
"NRAS",4454
"CSDE1",4313
"SIKE1",5553
"SYCP1",3627
"TSHB",564
"TSPAN2",3212
"NGF",1049
"VANGL1",8769
"CASQ2",2700
"NHLH2",2679
"LOC101928995",1396
"LOC101928977",578
"SLC22A15",4720
"MAB21L3",3229
"ATP1A1",4300
"ATP1A1-AS1",2635
"LOC101929023",863
"CD58",1719
"IGSF3",7327
"MIR320B1",79
"C1orf137",386
"CD2",1531
"PTGFRN",6312
"CD101",3563
"LOC101929099",1814
"TTF2",4854
"MIR942",86
"TRIM45",3581
"VTCN1",2947
"LINC01525",565
"MAN1A2",5388
"LOC100996263",436
"FAM46C",5720
"GDAP2",10174
"WDR3",3877
"SPAG17",7125
"TBX15",3495
"WARS2",2835
"WARS2-IT1",562
"LOC101929147",5118
"HAO2",1701
"HAO2-IT1",310
